,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
106206,proton,All_or_Total,9000,All_or_Total,Other,Lab,36600000.0,932949.8023659516,0.0304,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,4,No Pointer,54,"54-XE-0(P,X)55-CS-132,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042004,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106207,proton,All_or_Total,9000,All_or_Total,Other,Lab,37100000.0,945695.018245268,0.0285,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,4,No Pointer,54,"54-XE-0(P,X)55-CS-132,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042004,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106208,proton,All_or_Total,9000,All_or_Total,Other,Lab,37200000.0,948244.0614211312,0.0431,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,4,No Pointer,54,"54-XE-0(P,X)55-CS-132,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042004,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106209,proton,All_or_Total,9000,All_or_Total,Other,Lab,39300000.0,1001773.9681142597,0.0316,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,4,No Pointer,54,"54-XE-0(P,X)55-CS-132,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042004,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106210,proton,All_or_Total,9000,All_or_Total,Other,Lab,39700000.0,1011970.1408177126,0.0361,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,4,No Pointer,54,"54-XE-0(P,X)55-CS-132,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042004,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106211,proton,All_or_Total,9000,All_or_Total,Other,Lab,40400000.0,1029813.4430487554,0.0308,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,4,No Pointer,54,"54-XE-0(P,X)55-CS-132,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042004,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106212,proton,All_or_Total,9000,All_or_Total,Other,Lab,42600000.0,1085892.3929177471,0.0209,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,4,No Pointer,54,"54-XE-0(P,X)55-CS-132,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042004,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106213,proton,All_or_Total,9000,All_or_Total,Other,Lab,13700000.0,349218.91509326606,0.00016,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106214,proton,All_or_Total,9000,All_or_Total,Other,Lab,14800000.0,377258.39002776187,0.00037,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106215,proton,All_or_Total,9000,All_or_Total,Other,Lab,15000000.0,382356.4763794884,0.00024,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106216,proton,All_or_Total,9000,All_or_Total,Other,Lab,16200000.0,412944.9944898475,0.00103,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106217,proton,All_or_Total,9000,All_or_Total,Other,Lab,17100000.0,435886.3830726168,0.00138,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106218,proton,All_or_Total,9000,All_or_Total,Other,Lab,17400000.0,443533.51260020654,0.00117,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106219,proton,All_or_Total,9000,All_or_Total,Other,Lab,18100000.0,461376.81483124936,0.0008,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106220,proton,All_or_Total,9000,All_or_Total,Other,Lab,18300000.0,466474.9011829759,0.00164,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106221,proton,All_or_Total,9000,All_or_Total,Other,Lab,18700000.0,476671.0738864289,0.00094,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106222,proton,All_or_Total,9000,All_or_Total,Other,Lab,19000000.0,484318.2034140187,0.00135,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106223,proton,All_or_Total,9000,All_or_Total,Other,Lab,19200000.0,489416.2897657452,0.00157,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
106224,proton,All_or_Total,9000,All_or_Total,Other,Lab,21200000.0,540397.1532830102,0.00143,inf,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (89)   ",D4042,2,No Pointer,54,"54-XE-0(P,X)55-CS-127,,SIG",Excitation functions for the formation of some radioisotopes of cesium and iodine in proton and deuteron induced nuclear reactions on natural xenon,1989,F.Tarkanyi+,2GERJUL,2006/07/01,"Jour. Radiochimica Acta Vol.47, p.169, 1989",D4042002,D4042,"(J,RCA,47,169,1989)",1,1,0,131Xe,Xe,77,131,N,6.348441347665875,0.1260151832849704,Other,-89147.0105,0.009,8430.733499999998,0.0,-1667.746,6.665500000000001,131293000.0,0.0095,16011.465,0.535,15725.69,0.87,-2398.415,1.505,-2174.375,2.56,-9257.105,0.44,-10018.83,6.455,7930.065,0.01,8714.349999999999,3.17,-9581.34,30.37,9686.72,3.41,4078.36,3.65,5137.09,1.19,-8714.349999999999,-7930.065,-16384.3739,-14159.8079,-15735.5049,-15440.5294,-15725.69,-16011.465,-2398.415,-2450.0925,-8714.349999999999,-7930.065,-5705.499,-10801.1765,-7529.670099999998,-8666.3335,-8474.7585,-8714.349999999999,-6489.784000000001,-7930.065,-7902.578900000001,-8007.649600000001,-1672.835999999999,-3220.8755999999994,-1686.338,12647.5544,11099.514899999998
